"","year","gear","julian","fish","CU_no","CU","prob"
"236",1985,"Fish Wheel",209,30,72,"Pelly",0.9218
"237",1985,"Fish Wheel",209,30,71,"Norden",0
"238",1985,"Fish Wheel",209,30,73,"MidYR",0.0101
"239",1985,"Fish Wheel",209,30,68,"Teslin",0.0015
"240",1985,"Fish Wheel",209,30,69,"UpperYR",0
"241",1985,"Fish Wheel",210,31,76,"NYR",0
"242",1985,"Fish Wheel",210,31,75,"White",0
"243",1985,"Fish Wheel",210,31,74,"Stew",0.1874
"244",1985,"Fish Wheel",210,31,72,"Pelly",0.0028
"245",1985,"Fish Wheel",210,31,71,"Norden",0
"246",1985,"Fish Wheel",210,31,73,"MidYR",0.2401
"247",1985,"Fish Wheel",210,31,68,"Teslin",0.5697
"248",1985,"Fish Wheel",210,31,69,"UpperYR",0
"249",1985,"Fish Wheel",210,32,76,"NYR",0.7992
"250",1985,"Fish Wheel",210,32,75,"White",0
"251",1985,"Fish Wheel",210,32,74,"Stew",0.0305
"252",1985,"Fish Wheel",210,32,72,"Pelly",0.0664
"253",1985,"Fish Wheel",210,32,71,"Norden",0
"254",1985,"Fish Wheel",210,32,73,"MidYR",0.0922
"255",1985,"Fish Wheel",210,32,68,"Teslin",0.0106
"256",1985,"Fish Wheel",210,32,69,"UpperYR",0
"257",1985,"Fish Wheel",210,33,76,"NYR",0.0899
"258",1985,"Fish Wheel",210,33,75,"White",0.0019
"259",1985,"Fish Wheel",210,33,74,"Stew",0.4358
"260",1985,"Fish Wheel",210,33,72,"Pelly",0.2122
"261",1985,"Fish Wheel",210,33,71,"Norden",0
"262",1985,"Fish Wheel",210,33,73,"MidYR",0.2576
"263",1985,"Fish Wheel",210,33,68,"Teslin",0
"264",1985,"Fish Wheel",210,33,69,"UpperYR",0
"265",1985,"Fish Wheel",210,34,76,"NYR",0
"266",1985,"Fish Wheel",210,34,75,"White",0
"267",1985,"Fish Wheel",210,34,74,"Stew",0.0016
"268",1985,"Fish Wheel",210,34,72,"Pelly",1e-04
"269",1985,"Fish Wheel",210,34,71,"Norden",0
"270",1985,"Fish Wheel",210,34,73,"MidYR",0.0528
"271",1985,"Fish Wheel",210,34,68,"Teslin",0.9455
"272",1985,"Fish Wheel",210,34,69,"UpperYR",0
"273",1985,"Fish Wheel",210,35,76,"NYR",0
"274",1985,"Fish Wheel",210,35,75,"White",6e-04
"275",1985,"Fish Wheel",210,35,74,"Stew",0.9664
"276",1985,"Fish Wheel",210,35,72,"Pelly",0.0308
"277",1985,"Fish Wheel",210,35,71,"Norden",0
"278",1985,"Fish Wheel",210,35,73,"MidYR",0.0022
"279",1985,"Fish Wheel",210,35,68,"Teslin",0
"280",1985,"Fish Wheel",210,35,69,"UpperYR",0
"281",1985,"Fish Wheel",210,36,76,"NYR",0
"282",1985,"Fish Wheel",210,36,75,"White",0
"283",1985,"Fish Wheel",210,36,74,"Stew",0.0044
"284",1985,"Fish Wheel",210,36,72,"Pelly",0
"285",1985,"Fish Wheel",210,36,71,"Norden",0
"286",1985,"Fish Wheel",210,36,73,"MidYR",0.0061
"287",1985,"Fish Wheel",210,36,68,"Teslin",0.9895
"288",1985,"Fish Wheel",210,36,69,"UpperYR",0
"289",1985,"Fish Wheel",210,37,76,"NYR",0.664
"290",1985,"Fish Wheel",210,37,75,"White",0
"291",1985,"Fish Wheel",210,37,74,"Stew",0.1591
"292",1985,"Fish Wheel",210,37,72,"Pelly",0.0383
"293",1985,"Fish Wheel",210,37,71,"Norden",0
"294",1985,"Fish Wheel",210,37,73,"MidYR",0.0794
"295",1985,"Fish Wheel",210,37,68,"Teslin",0.0588
"296",1985,"Fish Wheel",210,37,69,"UpperYR",0
"297",1985,"Fish Wheel",210,38,76,"NYR",0.0897
"298",1985,"Fish Wheel",210,38,75,"White",0
"299",1985,"Fish Wheel",210,38,74,"Stew",0.029
"300",1985,"Fish Wheel",210,38,72,"Pelly",5e-04
"301",1985,"Fish Wheel",210,38,71,"Norden",0
"302",1985,"Fish Wheel",210,38,73,"MidYR",0.0165
"303",1985,"Fish Wheel",210,38,68,"Teslin",0.8642
"304",1985,"Fish Wheel",210,38,69,"UpperYR",0
"305",1985,"Fish Wheel",210,39,76,"NYR",0.0092
"306",1985,"Fish Wheel",210,39,75,"White",0
"307",1985,"Fish Wheel",210,39,74,"Stew",0.9746
"308",1985,"Fish Wheel",210,39,72,"Pelly",0.0109
"309",1985,"Fish Wheel",210,39,71,"Norden",0
"310",1985,"Fish Wheel",210,39,73,"MidYR",0.002
"311",1985,"Fish Wheel",210,39,68,"Teslin",0.0023
"312",1985,"Fish Wheel",210,39,69,"UpperYR",0
"313",1985,"Fish Wheel",210,40,76,"NYR",0
"314",1985,"Fish Wheel",210,40,75,"White",0
"315",1985,"Fish Wheel",210,40,74,"Stew",0.0044
